,,,,,,,,,
,,,,,,,,,
1. Quelle rue habitez-vous ? ,,4. Si vous deviez donner 2 mots ou expressions pour décrire votre quartier : ,,,6. Quel est votre lieu préféré dans le quartier ? ,,"9. Selon vous, sur quoi faut-il agir en priorité pour le futur quartier ? ","11. Si vous aviez une baguette magqiue, qu'est ce que vous changeriez, ajouteriez ou supprimeriez ? ",
,Pourquoi ? ,,,,,,,,
,,1,2,,Lieu,Pourquoi ? ,,,
,,,,,,,,,
rue de Savoie ,Travaux de rénovations des facades et construction d'aires de jeux pour les enfants,Sale,Saleté,Irrespect,Espace Nelson Mandela,bibliothèque très agréable,Sur la propreté,"""Organiser des séances pour cultiver les gens à propos de la propreté""",propreté
avenue Ile de France,Trop de bandes dans la rue le soir. Peur de rentrer.,Bandes,Sécurité,Pas assez gai,le marché Ile de France,diversité des commerces,Sur le bruit la nuit ,,
avenue Ile de France,Arrivée du tramway,Joli,Agréable et joli,Propre,le marché Ile de France,,"""Il faut plus de commerces différents. Et où on trouve de tous les produits, pas des magasins réservés que à certains gens""",,
rue de Savoie ,,Convivial,"Mixité, convivialité et solidarité",Agréable,la rue de Savoie,"""C'est chez moi""",La propreté des immeubles,,
avenue Ile de France,Plus de violence et plus de bruit ,Triste,Désagréable,Incompréhsensible,chez moi ,,Le bruit,"Mettre de la gentillesse, de la tolérance, de l'acceptation de l'autre et de différences",vivre-ensemble
rue du Vivarais ,L'ambiance générale s'est dégradée.,Diversité,"Mixité, convivialité et solidarité",Communauté,les grands espaces verts,,La propreté,Supprimer les immeubles de plus de 4 étages. ,rénovation et réaménagement
avenue Ile de France,Il n'y a plus de respect pour personne. Les motos cross sont trop bruyantes tard le soir. ,Malsain,Désagréable,,,,La délinquance & le bruit ,"""Je supprimerais tous ces étrangers qui foutent rien.""",racisme
avenue Ile de France,Plus assez de verdure. Avant il y en avait partout.,Trop de constructions,,Pas assez vert,,,Les espaces verts et les emplois,Créer un jardin botanique,espaces verts
avenue de Savoie,Trop de travaux partout,Beau,Agréable et joli,Incroyable,Place Cassin ,Beaucoup de choses à acheter,Trop de motos qui font du bruit le dimanche matin,,
rue Piémont ,Immeubles dégradés,Lamentable,Désagréable,Dégradé,,,"Avec le tramway qui est arrivé, ils ont supprimé plein d'arrêts et de lignes de bus. Et les bus sont trop espacés. ","Je supprimerais la magasin d'alimentation du marché Ile de France, il y a que des produits hallal, pour en mettre un mieux. ",commerces
rue du Perigord,Plus de pauvreté,Risque de guettoisation ,Ghetto,Vivant ,Marché Ile de France,,Plus de mixité sociale au sein des habitats. ,Plus de diveristé dans les commerces de proximité. Agir sur la sécurité publique. ,commerces
rue André Malraux,Le quartier a été délaissé. Il n'y a que des actions avant les votes. ,Pas d'activités,calme,Pauvre,Place Cassin ,Plus de sécurité,Trop d'interventions de la police,"""Agir sur les indics, les balances, les gens qui jugent. On n'a plus de vie privée, tout le monde est au courant de tout""",vivre-ensemble
rue Rubens,Problèmes de drogue,Vivant,"Mixité, convivialité et solidarité",Mixité,Place Cassin ,C'est le centre,Sur la sécurité,,
avenue de France,,Quartier chaud,Sécurité,,Terrains de sports,,Sur la sécurité,Balayer les délinquants,délinquance
avenue Ile de France,"Coups de feu, fusillades. Il n'y avait pas ça avant. ",Solidarité,"Mixité, convivialité et solidarité",Insécurité,Parc Urbain ,Très calme,L'éducation pour apprendre à vivre avec les autres. Education civique. ,Agrandir la maison de quartier. Ouvrir un centre d'aide aux devoirs pour les jeunes. ,jeunesse
rue Renoir ,,Tout sur place,Tout sur place,Bien ,la Poly clinique,,Les gens qui s'assoient dans la rue et qui font rien de la journée,"Plus d'activités culturelles pour les enfants (musique, danse..)",enfance
rue de Savoie ,De plus en plus envahis par des gens qui ne travaillent pas,Saleté,Saleté,Irrespect,,,Sur l'insalubrité. Loger que des gens respectueux.,Plus de tranquilité ,délinquance
rue de Cologne,,Bien,Agréable et joli,,,,Changer le moral des personnes. ,Plus d'emplois et de services aux personnes ,emplois
rue de Fribourg,,Familier,"Mixité, convivialité et solidarité",Convivial,place Cassin,"convivial, on y fait des rencontres",Sur les coups de feu ,Refaire des bâtiments tous neufs,rénovation et réaménagement
avenue de Bourgogne,"Arrivée de tramway, beaucoup de nouvelles constructions",Mutations,,Multiculturel,Parc Urbain ,jeux pour les enfants,La propreté,Plus d'emplois ! ,emplois
rue Marc Bloch ,"""Restez où vous êtes, Planoise ça craint""",,Sécurité,,,,"""Nettoyer les arabes""", ,divertissement
Place Cassin ,Plus d'insécurité,Bruyant,Bruit ,Pas à mon aise,,,Resserrer les liens entre les communautés,si ça continue à se dégrader je vais partir,
Châteaufarine,Le comportement des gens ,,Sécurité,,Château farine,,La sécurité,Supprimer les bruits de moto tard le soir ,bruit
rue de Savoie ,Trop de choses qui se passent..,Malpropre,Saleté,Pas assez de mélange entre les communautés,Epoisse,J'ai des amis là-bas,Plus de mélange entre les communautés et les religions,Enlever les problèmes de drogue,délinquance
rue de Dijon,,Chaud,Sécurité,Pas de sécurité,,,"Sécurité, gens dehors, les choses cassées, la drogue","Changer les immeubles, les couleurs",rénovation et réaménagement
rue du Luxembourg,Plus d'animation dans le quartier,Animé,Animé,Festif,Place Cassin ,Pas mal de commerces,Il faudrait que les gens du quartier se connaissent mieux. Plus de rencontres. ,Installer un Laser Game ,divertissement
rue de Savoie ,Les infrastructures collectives ont été abandonnées.,Horrible,Désagréable,Bien-être,,,"Agir sur l'autonomie des personnes (emplois, services..) Et sur le bruit aussi. ",Je l'utiliser pour frapper les élus et les forcer à avoir du respect pour les habitants du quartier. ,vivre-ensemble
rue Renoir ,"Scooteurs, bruit, chiens sans laisse, Insécurité ! ",Solidarité,Sécurité,Bordel ,,,,,
Place Cassin ,Le tramway ,Quartier,,,Cassin ,,Les gens ne savent pas vivre ensemble.,Plus d'aires de jeux pour les enfants,enfance
avenue de Bourgogne,"Traffic de drogue en bas de nos escaliers, insécurité",Mieux avant,mieux avant ,,Parc Vauban,pas trop sale ,Il faut que les gens se sentent plus à l'aise entre eux. ,Entente entre tous. Qu'on puisse sortir dans la rue le soir. ,vivre-ensemble
rue Franche Comte ,"Bruit, dangeureux ",bien ,Agréable et joli,dangeureux ,Cassin ,du monde,la communication entre les habitants ,l'ambiance entre les habitants ,vivre-ensemble
rue de Champagne ,"L'aspect, les batiments ",parfait ,Agréable et joli,magnifique ,place Cassin," ambiance, commerces, espaces","Batiments, propreté","changer les mentalités, la violence ",délinquance
avenue du Parc ,,proximité ,Tout sur place,mixité,Parc urbain ,,"Propreté, l'aspect des batiments ",le bruit ,bruit
rue Latour ,,Bien ,,,Intermarché ,,Propreté ,Propreté ,propreté
rue Durer ,,Pourri ,Saleté,à raser ,Parc urbain ,,Sécurité,les politiciens ,
avenue de Bourgogne,,Pas vivable ,Désagréable,déguelasse ,Cassin ,,à pied (je sors pas du quartier),tous les étrangers qui font du bordel,racisme
rue de Champagne ,plus de violence  ,Bruyant ,Bruit ,irrespectueux ,Intermarché ,,La sécurité ,,
avenue Ile de France,,,,,Intermarché ,,Transport ,,
rue Renoir ,,personne ne travaille ,Désagréable,précaire ,Cassin ,"commerces, ambiance ",chômage,Le bar ,divertissement
rue de Savoie ,très sale ,agréable ,Agréable et joli,pas propre,Cassin ,,le travail des jeunes ,violences ,délinquance
Place Cassin ,bruyant ,bruit ,Bruit ,monde ,Intermarché ,,Batiments ,immeubles ,rénovation et réaménagement
rue ile de France ,dégradation,va ailleurs ,Tensions entre les communautés et irrespect,,,,Civilité ,,
rue jules Gauthier ,,ghetto,Ghetto,bruyant ,Cassin,,ne sait pas ,les habitants,vivre-ensemble
rue Franche Comte ,"mentalité, moins de civilité ",vivant ,Animé,pratique ,Intermarché ,,ne sait pas ,mentalité des gens ,vivre-ensemble
rue Luxembourg,,Bien ,Agréable et joli,mal sécurisé ,Malcombe ,grand terrain ,ajouter des caméras ,Le voisinage ,vivre-ensemble
rue Rubens ,désordre dans le quartier ,convivial ,"Mixité, convivialité et solidarité",désordonné ,rue rubens ,les gens sont sympas ,la propreté ,le bruit ,bruit
rue Van gogh ,"Violence, délinquance ",dangeureux ,Sécurité,sympa ,place Cassin,"commerces, ambiance ",la délinquance ,tous les méchants ,vivre-ensemble
avenue Ile de France,,Bien ,,calme ,Cassin,"commerces, ambiance ",Propreté ,,
rue Franche Comte ,des sociétés sur le quartier ,bien ,Agréable et joli,dangeureux ,Cassin,,"Libertés, moins de police ",agrandir planoise ,
Pierre Rubens ,,Trop pourri ,Saleté,délinquance ,mon quartier ,,arrêter les délinquants ,dispariation des délinquants ,délinquance
Rue du Raire,"C'est plus la même époque, ni les mêmes personnes",Mélange,"Mixité, convivialité et solidarité",,,,Sur la délinquance,"""ici c'est chez moi ! """,
Square Van Gogh,,Sombre,Désagréable,Bien desservi ,Intermarché ,,"Le quartier est trop renfermé sur lui-même. Il y a beaucoup d'a prioris sur le quartier, il n'y a pas tant de soucis de sécurité que ça.",en centre ville ,
avenue Ile de France,Beaucoup de jeunes délinquants. Et c'est très sale.,Petite ville ,Tout sur place,Commerçante,place Cassin,tous les commerçants et près du parc,Propreté,Construire une autre piscine ,divertissement
avenue de Bourgogne,"Plus sale, les gens ne font pas attention. ",Vivant,Animé,Saleté,Parc Aventure,propre,Sécurité dans le quartier ,,
rue Rembrandt,très calme comme quartier,calme,calme,Saleté,,,Le bruit des motos le soir ,,
rue andré bloch ,Trop de conrôles de police,Violence,Sécurité,,Place Cassin ,,,Une structure d'accueil pour les handicapés,handicap
,,Diversité,"Mixité, convivialité et solidarité",,,,,,
,"Insécurité, on peut pas aller partout ! ",Bidonville ,Ghetto,,,,sécurité,Un grand nettoyage. Rénover les bâtiments. ,rénovation et réaménagement
