Tronc commun,,,Population,,,,,,,,,Mobilité,,,,,,,,,,Souhait,Evaluation de la démarche,,,
Pays de lumbres c'est quoi ?,Si autre Pays de Lumbres,Comment décrivez-vous ce territoire ?,Qu'est-ce qui attire les nouveaux habitants ?,Pourquoi ?,Quelle raison villes éloignées ?,Etes-vous satisfait de l'offre santé ?,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,"Voiture, qu'en pensez vous ?",Transports en commun,Commentaire,Vélo,Commentaire,Marche à pied,Commentaire,Covoiturage,Commentaire,Pourquoi ?,"Si vous aviez une baguette magique, qu'est-ce que vous changeriez sur le territoire ?",,Si oui comment ?,Si autre moyen,Que pensez-vous de cette démarche de concertation ?
Une communauté de communes,,agréable,les terrains pas chers,un manque de modernité à Lumbres et dans les villes. elles ne donnent pas envie,plus on s'éloigne moins il y a de taxes,Pas vraiment,,,,,,La voiture est une nécessité sur le territoire,J'accepterais si,ça me revient moins cher que la voiture,Non pas du tout,,J'aimerais mais,la traversée de la nationale est trop dangereuse,Non pas du tout,,c'est important,je ne sais pas,,autre,bouche à oreille,C'est bien
autre,Centre pour les courses,"beau pays, mais pas assez d'activités",la tranquilité et l'espace,parce que Lumbres c'est moins la campagne,il y a plus de sécurité dans les villes éloignées,oui,mais il manque des médecins,,,,,on est tellement habitué à prendre la voiture que c'est normal. Et il n'y a pas de transports en commun,Non pas du tout,,Non pas du tout,,Non pas du tout,,J'accepterais si,c'était avec des personnes que je connais,,que les lieux de promenades soient déprivatisés,,,,"C'est bien, mais je ne pense pas que notre avis sera vraiment pris en compte"
Une communauté de communes,,"Campagnard, vert, rural","Il y a de grands axes de communication, c'est pratique.",Lumbres ce n'est pas une ville très sexy. Quercamps c'est peut-être parce que c'est plus à l'écart. Wismes c'est peut-être trop rural.,les villes de la côte sont plus attractives,oui,,Il faudrait une vraie belle salle de sport,Il me semble qu'il n'y a pas grand chose,les marchés sont trop petits.,,il n'y a pas de transports en comun donc c'est normal,J'accepterais si,les horaires des transports en commun se coordonnent bien avec les miens,Je le fais déjà pour,me déplacer pour des courts trajets,J'accepterais si,j'habitais plus près de mon lieu de travail,J'accepterais si,je le ferais sans soucis,si il y a des publics éligibles il doit y avoir des logements adaptés partout,Plus de chemins balisés pour faire du VTT,,,,C'est bien
Un territoire,,C'est jolie et magnifique. C'est vallonné.,Le travail,Les usines qui ont fermé,Ils veulent être au calme,Pas vraiment,Pas vraiment de spécialistes,,Tout est à Saint Omer,,,C'est obligé,J'aimerais mais ,Il n'y en pas beaucoup ici,Je le fais déjà pour,Pleins de choses,Je le fais déjà,,Je le fais déjà pour ,L'aquagyme,,Une maison de retraitre encadrée. Davantage de services médicaux.,,,Club de randonné,C'est bien
un territoire,,C'est grand,Le paysage et la tranquilité,Au niveau des charges : le terrain et les impots,Les gens veulent avoir la paix et la tranquilité,oui,,,,,,C'est rare une voiture. Les familles en on 2 ou 3. On a besoin d'une voiture pour travailler ,Non pas du tout,On ne dépend de personne,Je le fais déjà pour,Pour faire du sport,Je le fais déjà pour,,Je le fais déjà pour,aller de Pihem à Rouen ,On ne veut pas de cas sociaux,Améliorer les stationnements ,,,,Je n'y crois. Ils feront bien ce qu'ils veulent 
un territoire,,Très verdoyant et grand secteur ,Les activités sportives (plongé) et les écoles ,NSP,Le prix des terrains ,Pas du tout,,,,,,On n'a pas développé le transport ,J'accepterais si,Il y avait un réseau comme à Saint Omer ,J'aimerais mais,pas adapté,Je le fais déjà pour,,Non pas du tout,,Adapté beaucoup plus ,l'accessibilité des routes ,,,,C'est bien 
Je ne sais pas,,Le territoire c'est Lumbres et les alentours. Tout se passe à Lumbres,Le prix de l'immobilier ,Les gens recherchent pour le même prix plus d'espace et de tranquilité et moins d'impot. ,La proximité de Boulogne sur Mer ,Pas vraiment,Pas assez de médecins ,,,Lumbres oui mais pas dans les commerces autour ,,C'est logique tous les ménages travaillent. Il faut pouvoir se déplacer pour avoir accès aux commerces. ,J'aimerais mais,Il n'y en a pas assez surtout pour les enfants ,Non pas du tout,,Je le fais déjà pour,,Je le fais déjà pour,l'école,pourquoi pas ,NSP ,,,,c'est bien 
Une communauté de communes,,Un regroupement de communes,Les commerces et le travail,"Le centre meurt, il n'y a rien d'attirant","Les alentours sont plus attirants que Saint Omer. Sûrement dû aux taux d'impôts, aux taxes",Pas vraiment,Il faut prévoir d'être malade !! Sinon c'est compliqué d'avoir un rendez-vous.,,Bibliothèques,"Wavran , il n'y a rien. Il faut venir à Lumbres","Pareil que l'offre de commerces, il faut venir à Lumbres","On est obligé , déjà pour amener les enfants à l'école",J'accepterais si,S'il y en avait,Non pas du tout,,Je le fais déjà pour,Les balades car il n'y a rien à côté,J'accepterais si,Si j'étais plus jeune,Il y a déjà des maisons à louer dans la commune,Les taxes foncières sont trop élevées,,,,Si ça peut être utile c'est bien
un regroupement de 36 communes,,Vaste,"Le côté rural, les espaces, la tranquilité, le côté convivial avec les voisins qui n'existe pas forcément en ville",Beaucoup de commerces qui ferment,"St Omer est maintenant une ville morte, j'aimais y aller avant mais plus maintenant. Peut être que St Omer se vide à causes des grandes surfaces. St Omer meurt maintenant.",Pas vraiment,Il manque un ophtalmo dans le secteur. Il faut aller à Hazebrouck ou Boulogne. Médecin et pharmacie ça va. ,Ma belle-fille se plaint de ne pas avoir de centre sportif à proximité. On passe du temps sur la route pour amener les petits-enfants. ,Médiathèques à Lumbres,,,Je préfère la voiture que les transports en commun ,Non pas du tout,,Non pas du tout,Pas sportive,Je le fais déjà pour,Me balader,Non pas du tout,Je n'ai pas l'occasion de le faire (retraite),"Ne sait pas s'il doit y avoir plus de logement dans le Pays de Lumbres : difficile de répondre sans être concernée par le besoin. Dans la commune, contre car ce n'est pas forcément la population que l'on veut voir dans le village",L'état des petites routes (au niveau d'Alquines),,,,Ce n'est pas inintéressant si ça peut modifier quelque chose au niveau de la communauté de communes
un regroupement de 36 communes,,"Rural, touristique","On est à la campagne, au milieu de l'axe Boulogne - St Omer - Calais avec l'accès à l'autoroute et la pointe du littoral qui permet ça (la partie covoiturage)",Les gens préfèrent la ruralité,Peut être le côté investissement immobilier qui est plus avantageux,oui,"Pour les hospitalisations on est conduits à Helfaut alors que Boulogne est plus proche. Il y a très peu de dentistes, le reste (infirmières, kiné) ça va. Pas d'ophtalmo. Pédiatrie c'est les grandes villes",Chaque maire défend son territoire donc il n'y a pas d'entente sur le territoire. Tout est concentré sur Lumbres. Il y a très peu de terrains multisports en libre accès sur le territoire,Logique de territoire respectée avec les bibliothèques. Quelques animations mais qui ne sont pas vraiment suivies. C'est des associations du territoire qui font le plus vivre le territoire,,,Il n'y a aucune mobilité pour une personne isoléen seule qui n'aurait pas de voiture (personne âgée ou personne en couple qui n'aurait pas de voiture). Avant il y avait plus de liaisons en bus.,J'accepterais si,C'est un tarif raisonnable. Entre certaines communes il y a des minibus gratuits qui circulent. Le minibus peut même venir chercher les gens s'ils appellent,Non pas du tout,N'aime pas le vélo,Je le fais déjà pour,,J'aimerais mais,Plus l'occasion,"Les gens ont peur des personnes qui vivent dans ces logements. C'est une absurdité. Ca permet de grandir les rangs des écoles, faire marcher le commerce","J'aimerais une idée plus marquée du territoire, une dynamique",,,,Intéressante si ça débouche sur quelque chose et ne se limite pas qu'à un questionnaire
Je ne sais pas,,Villages,"Les villages sont paisibles, c'est mieux qu'en ville","Pour le travail, les gens quittent la région",,oui,,,,"Alquines, il n'y a rien. Sans le permis c'est loin. Il faut penser à ceux qui n'ont pas de moyens de locomotion",,Il faut avoir le permis,J'accepterais si,"S'il y avait l'opportunité. Sans voiture, pas de boulot et loin de tout",Non pas du tout,N'a pas de vélo,Je le fais déjà pour,Aller au village mais c'est cher,J'aimerais mais,Il n'y a pas d'offre sur le village,Il n'y a pas d'avenir à rester à Alquines. C'est loin de tout. J'ai besoin d'un LLA mais pas ici,Plus de logements locatifs aidés pour ceux qui en ont besoin  ,,,,C'est bien
autre,Lumbres et ses alentours,"C'est la campagne, c'est calme et agréable","Nous on vient de Boulogne, beaucoup de monde déménage parce que ça devient de plus en plus cher. Egalement raisons professionnelles",Lumbres est cher au niveau foncier et peu attrayant. Les petits commerces ferment depuis que Leclerc et Super U se sont implantés. Au niveau médical il n'y a pas grand chose non plus.,Certainement pour des raisons financières également et un besoin de quitter,Pas vraiment,Un peu juste,Il n'y en a pas assez. Il n'y a pas de salles de sport,Excepté la médiathèque de Lumbres il n'y a rien ,Sur Lumbres il n'y a presque rien. Les petits magasins ont tendance à s'éteindre. Ce serait bien si les fermiers vendaient directement aux consommateurs. Ce se fait à Saint Martin Boulogne,"Coiffeurs à domicile, service de poste...","Pas le choix sauf pour se déplacer à Alquines, boucherie ...",Non pas du tout,Je n'aime pas être tributaire des horaires de passages,Non pas du tout,,Je le fais déjà pour,"Les petits achats (boucherie, il n'y a que ça). ",J'aimerais mais,Il n'y a pratiquement rien. C'est souvent pour des destinations à St Omer ou à Boulogne,Ca peut créer des problèmes,"Les routes, elles sont à améliorer. Rendre le territoire plus attractif. Certaines choses se font mais ce n'est pas suffisant, ça n'attire plus de commerces de proximité",,,,C'est bien. J'attends d'avoir les fruits de cette requête
Je ne sais pas,,Pas mal mais il n'y a plus de commerces en ville. Le centre meurt. ,Les prix du terrain,"C'est le bordel à Lumbres ! Le parking est toujours plein, il n'y a plus de commerces, le dimanche c'est triste, il n'y a plus rien à part un PMU.",Les terrains et les locations sont moins chers,Pas vraiment,"Docteurs tout prêts mais pour les spécialistes c'est compliqué. Sur St Omer, 9 mois d'attentes pour l'ophtalmo",,,Pour l'instant ça va mais il ne faut pas que les petites boutiques ferment dans le village,,"C'est bien, ça permet d'aller à la pharmacie et chez le docteur",Non pas du tout,Tant qu'on peut conduire nous même ça va. ,Je le fais déjà pour,La promenage,Non pas du tout,Problèmes de genoux et de hanche,Je le fais déjà pour,Rendre service à la famille,"Ca tue la tranquilité du village, les jeunes ne respectent pas, ils ne disent pas bonjour. Ils sont instruits mais pas éduqués. Ils dérangent, ils ne disent pas bonjour !","Des routes bien goudronnées, entretenues",,,,Si ça peut faire du bien 
Une communauté de communes,,Bien,"Les magasins, les médecins, l'envie de revenir à la campagne","Trop cher, taxes, les petits villages sont plus calmes","Le calme, pas de circulation la nuit",oui,,,Il manque un cinéma,Au village il y a tout mais il manque un magasin d'outillage et de couture plus des grandes surfaces,,S'il y avait plus de transports en commun ce serait bien. Avant il y avait un bus depuis Nielles pour Lumbre,J'aimerais mais,Il n'y en a pas. Ca donnerait plus d'indépendance pour les courses par exemple. ,Je le fais déjà pour,Nielles/Lumbres pour voir la famille,Je le fais déjà pour,la santé,Je le fais déjà pour,Faire les courses avec les voisines,"Pour que les jeunes puissent s'installer, ils sont obligés de rester chez leurs parents avec les enfants. ",Plus d'espace pour les vélos et les marcheurs sur les routes. Trottoirs et pistes cyclables,,,,C'est bien
autre,Ce qui entoure Lumbres,"Vert, vallonné, nature, rivière, forêt.","La tranquilité de la campagne, les gens fuient la ville, qualité de vie","Lumbres est une petite ville, les gens préfèrent le village. Taxe foncière plus cher, peut être la politique. Les gens aiment le village, le silence. ","Pour se rapprocher des autres villes, Boulognes",Pas vraiment,"Il n'y en a pas assez, plusieurs mois pour un rendez vous ophtalmo avec les enfants c'est gênant","L'AMGA n'est plus utilisable donc c'est compliqué. Il y a peu de clubs, il aurait fallu ne pas mettre tout l'argent pour la piscine et mieux répartir","Médiathèque c'est bien. Un gros complexe de cinéma serait bien, sinon c'est St Omer",,,"Pas vraiment le choix, il ne peut pas u avoir de bus partout",Non pas du tout,Ce ne serait pas compatible avec mon mode de vie,Non pas du tout,Trop fatiguant,Je le fais déjà pour,Le plaisir,J'accepterais si,"Quelqu'un du coin voulais le faire, des enfants...",Parce que ce ne serait pas forcément les gens du coin qui en bénéficieraient,Moins de vices présidents à la communauté de communes,,,,C'est bien
autre,Ici,Calme avec quelques activités,"La proximité des commerces, des écoles, proches de St Omer","Les petites communes sont moins chères, moins d'impôts, terrains moins chers, prix différents. ","Parce que c'est plus petit, plus calme, moins de délinquance",Pas vraiment,Sur Lumbres ça diminue,,Médiathèques,"Leclerc, Super U",,On a pas le choix,J'accepterais si,S'il y avait un bus gratuit avec des horaires adaptées ,Non pas du tout,,Non pas du tout,,J'accepterais si,S'il y avait d'autres personnes pour le faire,Mais plutôt des petites maisons que des HLM,,,,,Si ça sert à quelque chose c'est bien 
Je ne sais pas,,"On se plait bien à Lumbres, commerces aux alentours, tranquilité",,,,Pas vraiment,"Il y a beaucoup de médecins mais aucun ne se déplacent à domicile. Pour les urgences, il faut appeler les pompiers",Mais on privilégie un peu trop le foot par rapport aux autres sports,Il y aurait autre chose à faire qu'une nouvelle piscine. Il y en a une à Boulogne et à Saint Omer,"Beaucoup de magasins mais pas assez de parking. Difficile de se garer (jour de marché, et pour le centre ville). ",,"Ca fait beaucoup, quand on voit le prix d'un ticket de bus ce n'est pas cher",Je le fais déjà pour,Pour aller travailler ou sur Saint Omer,Non pas du tout,,Je le fais déjà pour,Le travail et se détendre,J'aimerais mais,Plus pour les grandes distances,Mais voir à qui sont attribués les logements,Des caméras de surveillance,,,,Je pense que ça devrait être fait régulièrement
autre,Région Lumbroise,"Diversifié, sportif, vallonné","L'opportunité d'avoir une maison, peut être plus de disponibilité terrains, maisons moins chers","De moins en moins de commerces, Lumbres devient triste",L'immobilier doit être moins cher,Pas vraiment,"Il manque plein de choses. Médecins catastrophe, en retraite et pas remplacé, spécialistes --> grandes villes",,,Tout ferme,,C'est mon cas,Non pas du tout,Pas possible pour le transport (5heures du matin),Non pas du tout,,J'aimerais mais,je n'ai pas le temps,Non pas du tout,Ca n'irait pas avec les horaires,"Sur Lumbres, il y en a assez. A Setques il n'y en a pas. ",,,,,Ca peut être utile
Je ne sais pas,,"Ca va, cool. ","C'est calme, c'est le confort, l'environnement et ça construit pas mal. ",Je ne connais pas trop donc je ne sais pas. Il y a ce qu'il faut. Peut être le travail. ,"Le calme. Moins de population, les gens qui n'aiment pas voir du monde",Pas vraiment,Il y a des médecins mais pas beaucoup de spécialistes. Je vais chez le médecin à Saint Omer,"Ca va ici, golf, piscine, foot, javelot, cyclisme, trail. ",,,,Ca fait beaucoup,J'aimerais mais,Il y en a pas beaucoup. Et en fonction des horaires c'est difficile,J'accepterais si,S'il y avait des vélos libre service,Je le fais déjà pour,"Le trail, activités sportives",J'accepterais si,C'était avec des gens de confiance,"C'est des petits villages, avec les nouvelles constructions, les petits villages ne ressemblent plus à rien. A la rigueur rénover l'existant. ","Améliorer les transports en commun, il n'y en a pas assez",,,,C'était bien. Il faut avoir les avis de tout le monde. C'est bien d'avoir l'accord des gens. 
un regroupement de 36 communes,,Varié et la nature,"Les villages, la campagne, les maisons sont belles",Manque de travail,"Ca dépend des époques, des moments. Vivre au village",Pas vraiment,Manque de médecins,Il va y avoir une nouvelle piscine. Pas assez de loisirs pour les enfants. Pelouse avec des aires de jeux. ,Qu'à Saint Omer,A Lumbres ça ferme,,Il faut être véhiculé pour trouver du travail,Non pas du tout,,Non pas du tout,,Je le fais déjà pour,,J'aimerais mais,Je n'y pense pas,,Améliorer la circulation,,autre,Réunion d'information,C'est bien
un territoire,,"Bien, Beau","Le non stress, le paysage, la tranquilité, la politesse des gens",Ne sait pas,Les impôts locaux,oui,,Sur Lumbres,,,,Sans voiture on fait rien,Non pas du tout,,Je le fais déjà pour,,Je le fais déjà pour,,Non pas du tout,,,"La piscine de Lumbres, un centre aquatique comme à St Omer",,,,C'est bien
un territoire,,C'est un beau territoire,Le prix des terrains,"Ne sait pas. Pas beaucoup de commerces dans Lumbres, c'est triste",Les prix des terrains,Pas vraiment,,,,,,"Pas le choix, au village",Non pas du tout,,J'accepterais si,Plus de pistes sécurisées,Je le fais déjà pour,,Non pas du tout,,Faut pas laisser de côté,Le réseau internet,,,,C'est bien
Une communauté de communes,,"On y vit bien, paysage agréable et varié. Les équipements sont satisfaisants","Vivre en milieu rural, les impôts sont moins chers",Cercle de la population qui vieillit,Les gens veulent vivre au village. Impôts moins chers,Pas vraiment,,,,"Proximité, non. Manque de super marché",,Bien obligé car pas/peu de transport en commun,J'accepterais si,"S'il y en avait plus. Au moins toutes les heures, toutes les 2 heures",J'aimerais mais,Pas de pistes cyclables,Je le fais déjà pour,,Non pas du tout,Pas dans mes habitudes,,Transports en commun --> avec une aide dans les transports. Navettes régulières. Et améliorer les stationnements,,autre,Réunion d'informations,Bien
autre,Région,Rural,Avoir plus de services,Ne sait pas,La tranquilité,Pas vraiment,C'est compliqué d'avoir un médecin disponible,,,,,Pas trop le choix,Non pas du tout,Pas possible avec les enfants,Non pas du tout,Je suis contre le vélo,Non pas du tout,Je prends que la voiture,J'accepterais si,ca m'arrange pour aller au travail,,Plus d'emploi,,,,C'est bien si c'est utile
un territoire,,Il est grand --> petits villages,Terrains pas chers,Le prix des terrains et des maisons. Peut être aussi revenir à la campagne pour le calme,"Espace/terrain vaste pour élever les enfants, avoir un chien ",oui,,"A part le foot, club personnes agées",Sur Lumbres. Pas de cinéma mais pas sur les villages à part bibliothèque,Que du dépannage,Plus à domicile. Il faut venir sur Lumbres,"Pas étonnant, villages isolés, pas le choix",J'aimerais mais,Il n'y en a pas ,J'aimerais mais,On a rien. Pas de pistes cyclables,Je le fais déjà pour,,Non pas du tout,Je ne peux pas. Je suis toute seule à travailler,Beaucoup trop d'aide déjà,Tous les gens qui ne travaille pas devraient donné des heures à la commune --> aide aux personnes âgées + Commune,,,,C'est bien
autre,Regroupement de tous les villages,C'est bien,Les terrains moins chers,Les commerces disparaissent,En fonction du lieu de travail,Pas vraiment,,Terrain de foot,,Centre Leclerc,,"Une voiture pour le travail --> et il n'y a pas de travail ici, il faut bouger",Non pas du tout,,J'aimerais mais,"Pas de pistes cyclables, les rues sont étroites ici.",Je le fais déjà pour,,Non pas du tout,Je ne travaille plus,Il en faut,"Contre le terrain de foot à côté de la piste BMX, ça prendrait trop de place. On ne pourra plus faire la brocante, les campings car ne pourront plus s'y mettre. Les trottoirs et les routes et la propreté. ",,autre,Réunion d'information,Oui c'est aux personnes avec qui il faut voir les choses. 
autre,Une petite ville,"Spacieux, montagne, il n'y a pas de tout. Golf, piscine...",Il y a tout pour les jeunes/enfants,On se le demande,Ne sait pas,Pas vraiment,,Marche. Il y a de tout,Que la salle Lio et pas assez grande,"Leclerc, gamme vert, Dia",,C'est bien. Moi j'en ai pas,Non pas du tout,,Non pas du tout,,Je le fais déjà pour,,Non pas du tout,,,Tout va bien ,,,,"Oui, bien "
un territoire,,La Campagne,"Le calme, la tranquilité, les beaux villages",Plus cher sûrement,"Terrains, locations moins chers",oui,,"Pas de salle de sport, faudrait une salle de danse/sport --> salle multisport",à part la médiathèque,On a qu'une boulangerie,,C'est normal quand on habite à la campagne,Non pas du tout,,Je le fais déjà pour,Mes balades,Je le fais déjà pour,Mes balades,Non pas du tout,,,Une salle de sport pour les enfants à escoeuilles,,,,C'est bien pour une fois qu'on nous demande.
Je ne sais pas,,C'est assez calme,La tranquilité d'un village,Ne sait pas ,Ne sait pas ,Pas vraiment,Plus de médecins,,Plus de spectacles,,,"Pour aller travailler, faire les courses c'est impératif",Non pas du tout,,Je le fais déjà pour,L'été oui,Non pas du tout,,J'accepterais si,J'y pensais,Il y a déjà 3 parcelles à Escoeuilles,Couper les arbres derrière la route chez moi. ,,,,C'est bien ça permet de donner notre avis
un territoire,,"J'ai l'impression qu'on organise plus de choses dans les villages. Par exemple : loto, soirées belotte, pizza, karaoké, fête des voisins. Les gens sont plus solidaires ","Une histoire de prix. Mais dans les village on a tout : école boulangerie brasserie, ferme et animations",Je ne connais pas bien Lumbres,"Les gens recherchent des terrains, locations moins chers et avec de l'espace",oui,,,Une médiathèque à Escoeuilles,,,C'est nécessaire pour travailler. Ici pas de transport,Non pas du tout,,Je le fais déjà pour,"Pour les balades, c'est limite avec le 42",Je le fais déjà pour,Dans mon village,J'aimerais mais,C'est compliqué car je travaille de nuit,Je ne sais pas si ça intéresserait les gens d'habiter dans les villages. Oui à Lumbres,Je n'habiterai plus là. Avant j'habitais isolé face à un étang alors que maintenant j'habite dans un lotissement,,,,C'est bien ça peut permettre d'améliorer les choses pour certaines personnes
un territoire,,Vaste,"La vie rurale, de village","Lumbres c'est une ville - plus de vie de village, c'est moins agréable à vivre. ",Le prix et le calme,oui,,,,,,C'est normal pour aller au travail et faire ses courses,J'accepterais si,Il y en avait plus et bien réfléchit,Je le fais déjà pour,Mes balades,Je le fais déjà pour,Mes balades,J'accepterais si,J'avais des horaires adaptées,,Refaire les lignes de bus --> plus de facilité de transport. Plus d'activité. ,,,,C'est bien si on prend en compte nos idées
